DateTime , Elasped_Time(sec) , CH 5 , CH 6 , CH 7 , CH 8 , CH 8-2 , CH 8-3 , CH 9 , CH 10 
2020-05-07 01-12-27 ,1,98.7,48.8,0,-3111.75,341.07,0,0,0
2020-05-07 01-12-28 ,2,94,114.4,0,-3108.83,343.99,2.92,2.92,0
2020-05-07 01-12-29 ,3,96.9,122.9,0,-3102.81,350.01,8.94,6.02,0
2020-05-07 01-12-30 ,4,96.7,71.2,0,-3101.25,351.57,10.5,1.56,0
2020-05-07 01-12-31 ,5,91.2,50.3,0,-3100.59,352.23,11.16,0.66,0
2020-05-07 01-12-32 ,6,93.1,42,0,-3100.02,352.8,11.73,0.57,0
2020-05-07 01-12-33 ,7,97.1,37.5,0,-3100.18,352.64,11.73,0,0
2020-05-07 01-12-34 ,8,96.6,34.8,0,-3099.14,353.68,12.77,1.04,0
2020-05-07 01-12-35 ,9,94.7,52.3,0,-3097.97,354.85,13.94,1.17,0
2020-05-07 01-12-36 ,10,92.5,91.5,0,-3096.23,356.59,15.68,1.74,0
2020-05-07 01-12-37 ,11,92.9,96.9,0,-3093.68,359.14,18.23,2.55,0
2020-05-07 01-12-38 ,12,95.1,100.6,0,-3092.63,360.19,19.28,1.05,0
2020-05-07 01-12-39 ,13,97,107,0,-3090.88,361.94,21.03,1.75,0
2020-05-07 01-12-40 ,14,98.8,114.4,0,-3089.14,363.68,22.77,1.74,0
2020-05-07 01-12-41 ,15,97.9,123.9,0,-3086.44,366.38,25.47,2.7,0
2020-05-07 01-12-42 ,16,97.6,134.4,0,-3082.49,370.33,29.42,3.95,0
2020-05-07 01-12-43 ,17,100.6,141.2,0,-3079.42,373.4,32.49,3.07,0
2020-05-07 01-12-44 ,18,101.9,141.3,0,-3076.69,376.13,35.22,2.73,0
2020-05-07 01-12-45 ,19,103.1,141.6,0,-3074.48,378.34,37.43,2.21,0
2020-05-07 01-12-46 ,20,100.5,141.8,0,-3071.8,381.02,40.11,2.68,0
2020-05-07 01-12-47 ,21,97.9,141.8,0,-3071.43,381.39,40.48,0.37,0
2020-05-07 01-12-48 ,22,98.2,141.8,0,-3069.81,383.01,42.1,1.62,0
2020-05-07 01-12-49 ,23,99.8,142,0,-3068.52,384.3,43.39,1.29,0
2020-05-07 01-12-50 ,24,105.8,141.9,0,-3065.79,387.03,46.12,2.73,0
2020-05-07 01-12-51 ,25,105.4,142.1,0,-3065.05,387.77,46.86,0.74,0
2020-05-07 01-12-52 ,26,100.5,142.2,0,-3065.12,387.7,46.86,0,0
2020-05-07 01-12-53 ,27,101.5,142.2,0,-3064.3,388.52,47.68,0.82,0
2020-05-07 01-12-54 ,28,101.5,141.9,0,-3063.39,389.43,48.59,0.91,0
2020-05-07 01-12-55 ,29,103.9,141.7,0,-3062.08,390.74,49.9,1.31,0
2020-05-07 01-12-56 ,30,104.8,141.7,0,-3060.85,391.97,51.13,1.23,0
2020-05-07 01-12-57 ,31,101.5,141.9,0,-3060.41,392.41,51.57,0.44,0
2020-05-07 01-12-58 ,32,100.9,141.7,0,-3058.3,394.52,53.68,2.11,0
2020-05-07 01-12-59 ,33,100,141.4,0,-3055.26,397.56,56.72,3.04,0
2020-05-07 01-13-00 ,34,102.5,141.2,0,-3053.18,399.64,58.8,2.08,0
2020-05-07 01-13-01 ,35,103.9,141.3,0,-3052.56,400.26,59.42,0.62,0
2020-05-07 01-13-02 ,36,100.3,141.6,0,-3051.35,401.47,60.63,1.21,0
2020-05-07 01-13-03 ,37,101.4,141.2,0,-3050.58,402.24,61.4,0.77,0
2020-05-07 01-13-04 ,38,98.9,141.1,0,-3048.66,404.16,63.32,1.92,0
2020-05-07 01-13-05 ,39,100,141.1,0,-3048.36,404.46,63.62,0.3,0
2020-05-07 01-13-06 ,40,102.4,141.1,0,-3047.21,405.61,64.77,1.15,0
2020-05-07 01-13-07 ,41,99.4,141.3,0,-3044.55,408.27,67.43,2.66,0
2020-05-07 01-13-08 ,42,99.2,141.1,0,-3044.39,408.43,67.59,0.16,0
2020-05-07 01-13-09 ,43,102.7,140.9,0,-3043.22,409.6,68.76,1.17,0
2020-05-07 01-13-10 ,44,102.2,140.9,0,-3042.04,410.78,69.94,1.18,0
2020-05-07 01-13-11 ,45,104.7,141.9,0,-3039.87,412.95,72.11,2.17,0
2020-05-07 01-13-12 ,46,104.1,143.2,0,-3037.7,415.12,74.28,2.17,0
2020-05-07 01-13-13 ,47,100.6,144.5,0,-3037.25,415.57,74.73,0.45,0
2020-05-07 01-13-14 ,48,102.4,145.4,0,-3034.94,417.88,77.04,2.31,0
2020-05-07 01-13-15 ,49,102.5,146.8,0,-3032.88,419.94,79.1,2.06,0
2020-05-07 01-13-16 ,50,103.9,146.8,0,-3031.52,421.3,80.46,1.36,0
2020-05-07 01-13-17 ,51,104.7,146.4,0,-3029.87,422.95,82.11,1.65,0
2020-05-07 01-13-18 ,52,99.6,144.1,0,-3030.08,422.74,82.11,0,0
2020-05-07 01-13-19 ,53,100.4,143.2,0,-3029.28,423.54,82.91,0.8,0
2020-05-07 01-13-20 ,54,99.8,143.1,0,-3027.27,425.55,84.92,2.01,0
2020-05-07 01-13-21 ,55,101,142.8,0,-3025.16,427.66,87.03,2.11,0
2020-05-07 01-13-22 ,56,102.3,143,0,-3022.65,430.17,89.54,2.51,0
2020-05-07 01-13-23 ,57,98.5,143,0,-3022.18,430.64,90.01,0.47,0
2020-05-07 01-13-24 ,58,98.5,142.8,0,-3021.08,431.74,91.11,1.1,0
2020-05-07 01-13-25 ,59,98.9,142.7,0,-3017.74,435.08,94.45,3.34,0
2020-05-07 01-13-26 ,60,99.8,142.7,0,-3017.42,435.4,94.77,0.32,0
2020-05-07 01-13-27 ,61,105.7,142.6,0,-3016.04,436.78,96.15,1.38,0
2020-05-07 01-13-28 ,62,105.2,142.6,0,-3013.53,439.29,98.66,2.51,0
2020-05-07 01-13-29 ,63,101.6,142.5,0,-3011.96,440.86,100.23,1.57,0
2020-05-07 01-13-30 ,64,102.3,142.2,0,-3010.6,442.22,101.59,1.36,0
2020-05-07 01-13-31 ,65,102,142.3,0,-3009.11,443.71,103.08,1.49,0
2020-05-07 01-13-32 ,66,102.9,142.1,0,-3007.71,445.11,104.48,1.4,0
2020-05-07 01-13-33 ,67,102.9,142.3,0,-3006.02,446.8,106.17,1.69,0
2020-05-07 01-13-34 ,68,100.2,142.3,0,-3005.14,447.68,107.05,0.88,0
2020-05-07 01-13-35 ,69,99.6,142,0,-3003.7,449.12,108.49,1.44,0
2020-05-07 01-13-36 ,70,100.4,142.1,0,-3001.95,450.87,110.24,1.75,0
2020-05-07 01-13-37 ,71,99.6,141.9,0,-3000.58,452.24,111.61,1.37,0
2020-05-07 01-13-38 ,72,102.2,141.8,0,-2999.06,453.76,113.13,1.52,0
2020-05-07 01-13-39 ,73,99.3,142.1,0,-2998.06,454.76,114.13,1,0
2020-05-07 01-13-40 ,74,97.3,141.8,0,-2997.54,455.28,114.65,0.52,0
2020-05-07 01-13-41 ,75,98.5,141.7,0,-2996.38,456.44,115.81,1.16,0
2020-05-07 01-13-42 ,76,98.5,141.8,0,-2994,458.82,118.19,2.38,0
2020-05-07 01-13-43 ,77,99.2,141.8,0,-2992.95,459.87,119.24,1.05,0
2020-05-07 01-13-44 ,78,98.9,141.9,0,-2993.26,459.56,119.24,0,0
2020-05-07 01-13-45 ,79,96,141.9,0,-2990.55,462.27,121.95,2.71,0
2020-05-07 01-13-46 ,80,97,141.6,0,-2989.11,463.71,123.39,1.44,0
2020-05-07 01-13-47 ,81,100,141.7,0,-2986.92,465.9,125.58,2.19,0
2020-05-07 01-13-48 ,82,102.1,141.7,0,-2985.87,466.95,126.63,1.05,0
2020-05-07 01-13-49 ,83,102.4,141.9,0,-2985.31,467.51,127.19,0.56,0
2020-05-07 01-13-50 ,84,99.1,141.7,0,-2983.43,469.39,129.07,1.88,0
2020-05-07 01-13-51 ,85,99.8,141.4,0,-2981.91,470.91,130.59,1.52,0
2020-05-07 01-13-52 ,86,100.5,141.5,0,-2980.16,472.66,132.34,1.75,0
2020-05-07 01-13-53 ,87,100.5,141.7,0,-2978.92,473.9,133.58,1.24,0
2020-05-07 01-13-54 ,88,101,141.5,0,-2977.98,474.84,134.52,0.94,0
2020-05-07 01-13-55 ,89,98,141.7,0,-2977.31,475.51,135.19,0.67,0
2020-05-07 01-13-56 ,90,97,141.3,0,-2974.95,477.87,137.55,2.36,0
2020-05-07 01-13-57 ,91,98.7,141.2,0,-2973.97,478.85,138.53,0.98,0
2020-05-07 01-13-58 ,92,98.8,141.4,0,-2973.05,479.77,139.45,0.92,0
2020-05-07 01-13-59 ,93,99.7,141.4,0,-2971.62,481.2,140.88,1.43,0
2020-05-07 01-14-00 ,94,98.3,141.3,0,-2971.02,481.8,141.48,0.6,0
2020-05-07 01-14-01 ,95,96.9,141,0,-2968.34,484.48,144.16,2.68,0
2020-05-07 01-14-02 ,96,102.2,140.5,0,-2965.7,487.12,146.8,2.64,0
2020-05-07 01-14-03 ,97,104.2,140.7,0,-2962.68,490.14,149.82,3.02,0
2020-05-07 01-14-04 ,98,102.2,140.8,0,-2960.56,492.26,151.94,2.12,0
2020-05-07 01-14-05 ,99,101.6,141.2,0,-2956.96,495.86,155.54,3.6,0
2020-05-07 01-14-06 ,100,98,141.2,0,-2956.38,496.44,156.12,0.58,0
2020-05-07 01-14-07 ,101,99,141,0,-2955.3,497.52,157.2,1.08,0
2020-05-07 01-14-08 ,102,100.2,141.2,0,-2953.66,499.16,158.84,1.64,0
2020-05-07 01-14-09 ,103,98.8,141.2,0,-2952.42,500.4,160.08,1.24,0
2020-05-07 01-14-10 ,104,100,141.4,0,-2951.54,501.28,160.96,0.88,0
2020-05-07 01-14-11 ,105,97.8,141.2,0,-2951.09,501.73,161.41,0.45,0
2020-05-07 01-14-12 ,106,96.6,141.1,0,-2948.34,504.48,164.16,2.75,0
2020-05-07 01-14-13 ,107,99.6,141,0,-2946.26,506.56,166.24,2.08,0
2020-05-07 01-14-14 ,108,99.4,141.3,0,-2945.65,507.17,166.85,0.61,0
2020-05-07 01-14-15 ,109,97.7,141.4,0,-2945.19,507.63,167.31,0.46,0
2020-05-07 01-14-16 ,110,97.3,141.4,0,-2942.59,510.23,169.91,2.6,0
2020-05-07 01-14-17 ,111,95.2,141.1,0,-2941.78,511.04,170.72,0.81,0
2020-05-07 01-14-18 ,112,97.9,141.1,0,-2940.28,512.54,172.22,1.5,0
2020-05-07 01-14-19 ,113,97.6,141.2,0,-2938.78,514.04,173.72,1.5,0
2020-05-07 01-14-20 ,114,96.9,141.4,0,-2936.62,516.2,175.88,2.16,0
2020-05-07 01-14-21 ,115,96.5,141.2,0,-2935.9,516.92,176.6,0.72,0
2020-05-07 01-14-22 ,116,99,141.1,0,-2934.47,518.35,178.03,1.43,0
2020-05-07 01-14-23 ,117,101.4,141,0,-2934.24,518.58,178.26,0.23,0
2020-05-07 01-14-24 ,118,102.6,141.2,0,-2933.75,519.07,178.75,0.49,0
2020-05-07 01-14-25 ,119,101.3,141.3,0,-2932.61,520.21,179.89,1.14,0
2020-05-07 01-14-26 ,120,102.1,141.2,0,-2930.45,522.37,182.05,2.16,0
2020-05-07 01-14-27 ,121,99.6,141.2,0,-2929.45,523.37,183.05,1,0
2020-05-07 01-14-28 ,122,98,140.9,0,-2927.99,524.83,184.51,1.46,0
2020-05-07 01-14-29 ,123,101.2,140.9,0,-2926.54,526.28,185.96,1.45,0
2020-05-07 01-14-30 ,124,99.2,141.2,0,-2924.85,527.97,187.65,1.69,0
2020-05-07 01-14-31 ,125,98.9,141.1,0,-2924.44,528.38,188.06,0.41,0
2020-05-07 01-14-32 ,126,98.9,141.1,0,-2923.43,529.39,189.07,1.01,0
2020-05-07 01-14-33 ,127,96.3,140.9,0,-2921.39,531.43,191.11,2.04,0
2020-05-07 01-14-34 ,128,99,141,0,-2919.69,533.13,192.81,1.7,0
2020-05-07 01-14-35 ,129,98.8,141.2,0,-2917.88,534.94,194.62,1.81,0
2020-05-07 01-14-36 ,130,97.9,141.2,0,-2917,535.82,195.5,0.88,0
2020-05-07 01-14-37 ,131,99.3,141,0,-2916.46,536.36,196.04,0.54,0
2020-05-07 01-14-38 ,132,97.3,141.1,0,-2914.04,538.78,198.46,2.42,0
2020-05-07 01-14-39 ,133,98.4,140.8,0,-2912.93,539.89,199.57,1.11,0
2020-05-07 01-14-40 ,134,99.4,141.1,0,-2910.93,541.89,201.57,2,0
2020-05-07 01-14-41 ,135,96.5,141.3,0,-2909.8,543.02,202.7,1.13,0
2020-05-07 01-14-42 ,136,99.5,141.1,0,-2908.82,544,203.68,0.98,0
2020-05-07 01-14-43 ,137,97,141.1,0,-2906.27,546.55,206.23,2.55,0
2020-05-07 01-14-44 ,138,97.1,140.9,0,-2904.55,548.27,207.95,1.72,0
2020-05-07 01-14-45 ,139,99.9,140.9,0,-2903.09,549.73,209.41,1.46,0
2020-05-07 01-14-46 ,140,101.8,141.2,0,-2901.57,551.25,210.93,1.52,0
2020-05-07 01-14-47 ,141,103.2,140.9,0,-2900.85,551.97,211.65,0.72,0
2020-05-07 01-14-48 ,142,101.1,140.8,0,-2898.96,553.86,213.54,1.89,0
2020-05-07 01-14-49 ,143,99.3,140.9,0,-2897.45,555.37,215.05,1.51,0
2020-05-07 01-14-50 ,144,101.8,141,0,-2896.89,555.93,215.61,0.56,0
2020-05-07 01-14-51 ,145,100.1,141.1,0,-2895.02,557.8,217.48,1.87,0
2020-05-07 01-14-52 ,146,99.4,141,0,-2893.32,559.5,219.18,1.7,0
2020-05-07 01-14-53 ,147,99.1,141,0,-2892.35,560.47,220.15,0.97,0
2020-05-07 01-14-54 ,148,96.4,141,0,-2890.27,562.55,222.23,2.08,0
2020-05-07 01-14-55 ,149,99.2,140.8,0,-2889.55,563.27,222.95,0.72,0
2020-05-07 01-14-56 ,150,98.9,141,0,-2887.67,565.15,224.83,1.88,0
2020-05-07 01-14-57 ,151,95.9,141.1,0,-2886.7,566.12,225.8,0.97,0
2020-05-07 01-14-58 ,152,96.5,141,0,-2884.74,568.08,227.76,1.96,0
2020-05-07 01-14-59 ,153,96,140.7,0,-2883.32,569.5,229.18,1.42,0
2020-05-07 01-15-00 ,154,98.8,140.6,0,-2881.98,570.84,230.52,1.34,0
2020-05-07 01-15-01 ,155,100,140.8,0,-2880.74,572.08,231.76,1.24,0
2020-05-07 01-15-02 ,156,96.1,141,0,-2880.06,572.76,232.44,0.68,0
2020-05-07 01-15-03 ,157,97.8,140.8,0,-2880.05,572.77,232.45,0.01,0
2020-05-07 01-15-04 ,158,95.8,140.8,0,-2877.01,575.81,235.49,3.04,0
2020-05-07 01-15-05 ,159,94.7,140.6,0,-2876.52,576.3,235.98,0.49,0
2020-05-07 01-15-06 ,160,97.2,140.6,0,-2876.34,576.48,236.16,0.18,0
2020-05-07 01-15-07 ,161,94.6,140.8,0,-2874.74,578.08,237.76,1.6,0
2020-05-07 01-15-08 ,162,94.2,140.7,0,-2873.88,578.94,238.62,0.86,0
2020-05-07 01-15-09 ,163,94.6,140.6,0,-2870.16,582.66,242.34,3.72,0
2020-05-07 01-15-10 ,164,93.1,140.7,0,-2869.53,583.29,242.97,0.63,0
2020-05-07 01-15-11 ,165,95.7,140.4,0,-2866.34,586.48,246.16,3.19,0
2020-05-07 01-15-12 ,166,94.7,140.8,0,-2866.05,586.77,246.45,0.29,0
2020-05-07 01-15-13 ,167,92.9,140.5,0,-2864.95,587.87,247.55,1.1,0
2020-05-07 01-15-14 ,168,93.2,140.4,0,-2863.77,589.05,248.73,1.18,0
2020-05-07 01-15-15 ,169,91.3,140.7,0,-2861.47,591.35,251.03,2.3,0
2020-05-07 01-15-16 ,170,94.6,140.5,0,-2861.56,591.26,251.03,0,0
2020-05-07 01-15-17 ,171,94.1,140.9,0,-2858.72,594.1,253.87,2.84,0
2020-05-07 01-15-18 ,172,95.9,140.7,0,-2858.17,594.65,254.42,0.55,0
2020-05-07 01-15-19 ,173,98,140.6,0,-2856.56,596.26,256.03,1.61,0
2020-05-07 01-15-20 ,174,96.5,140.7,0,-2855.48,597.34,257.11,1.08,0
2020-05-07 01-15-21 ,175,98.9,140.5,0,-2855.18,597.64,257.41,0.3,0
2020-05-07 01-15-22 ,176,98.9,140.5,0,-2852.98,599.84,259.61,2.2,0
2020-05-07 01-15-23 ,177,95.8,140.7,0,-2851.94,600.88,260.65,1.04,0
2020-05-07 01-15-24 ,178,96.7,140.5,0,-2851.76,601.06,260.83,0.18,0
2020-05-07 01-15-25 ,179,96.7,140.2,0,-2848.89,603.93,263.7,2.87,0
2020-05-07 01-15-26 ,180,96.9,140.2,0,-2846.63,606.19,265.96,2.26,0
2020-05-07 01-15-27 ,181,98.5,140.5,0,-2844.81,608.01,267.78,1.82,0
2020-05-07 01-15-28 ,182,96.8,140.4,0,-2844.49,608.33,268.1,0.32,0
2020-05-07 01-15-29 ,183,96.1,140.5,0,-2843.52,609.3,269.07,0.97,0
2020-05-07 01-15-30 ,184,97,140.2,0,-2842.7,610.12,269.89,0.82,0
2020-05-07 01-15-31 ,185,96.8,140.4,0,-2838.9,613.92,273.69,3.8,0
2020-05-07 01-15-32 ,186,98.3,140.3,0,-2837.79,615.03,274.8,1.11,0
2020-05-07 01-15-33 ,187,97.3,140.5,0,-2835.7,617.12,276.89,2.09,0
2020-05-07 01-15-34 ,188,94.4,140.6,0,-2834.82,618,277.77,0.88,0
2020-05-07 01-15-35 ,189,96.7,140.2,0,-2832.25,620.57,280.34,2.57,0
2020-05-07 01-15-36 ,190,95.5,140.3,0,-2830.73,622.09,281.86,1.52,0
2020-05-07 01-15-37 ,191,96.4,140.1,0,-2829.49,623.33,283.1,1.24,0
2020-05-07 01-15-38 ,192,96.4,140.3,0,-2827.9,624.92,284.69,1.59,0
2020-05-07 01-15-39 ,193,95.6,140.4,0,-2826.85,625.97,285.74,1.05,0
2020-05-07 01-15-40 ,194,95.6,140.2,0,-2826.44,626.38,286.15,0.41,0
2020-05-07 01-15-41 ,195,95.3,140.3,0,-2823.95,628.87,288.64,2.49,0
2020-05-07 01-15-42 ,196,96,140.4,0,-2823.36,629.46,289.23,0.59,0
2020-05-07 01-15-43 ,197,96.1,140.4,0,-2821.84,630.98,290.75,1.52,0
2020-05-07 01-15-44 ,198,93.4,140.3,0,-2818.81,634.01,293.78,3.03,0
2020-05-07 01-15-45 ,199,93.7,140.1,0,-2818.9,633.92,293.78,0,0
2020-05-07 01-15-46 ,200,94.2,140.2,0,-2817.99,634.83,294.69,0.91,0
2020-05-07 01-15-47 ,201,93.5,140.3,0,-2817.05,635.77,295.63,0.94,0
2020-05-07 01-15-48 ,202,97.5,140.4,0,-2815.65,637.17,297.03,1.4,0
2020-05-07 01-15-49 ,203,96.8,140.5,0,-2813.87,638.95,298.81,1.78,0
2020-05-07 01-15-50 ,204,95.6,140.4,0,-2811.14,641.68,301.54,2.73,0
2020-05-07 01-15-51 ,205,96.9,140,0,-2809.18,643.64,303.5,1.96,0
2020-05-07 01-15-52 ,206,95.9,140.5,0,-2807.89,644.93,304.79,1.29,0
2020-05-07 01-15-53 ,207,97.4,140.1,0,-2807.3,645.52,305.38,0.59,0
2020-05-07 01-15-54 ,208,96,140.3,0,-2805.6,647.22,307.08,1.7,0
2020-05-07 01-15-55 ,209,94.5,140.5,0,-2805.85,646.97,307.08,0,0
2020-05-07 01-15-56 ,210,96.1,139.9,0,-2804.77,648.05,308.16,1.08,0
2020-05-07 01-15-57 ,211,96.1,140.3,0,-2803.23,649.59,309.7,1.54,0
2020-05-07 01-15-58 ,212,98.1,140.1,0,-2801.16,651.66,311.77,2.07,0
2020-05-07 01-15-59 ,213,98.4,140,0,-2798.61,654.21,314.32,2.55,0
2020-05-07 01-16-00 ,214,94.7,140.3,0,-2798.42,654.4,314.51,0.19,0
2020-05-07 01-16-01 ,215,96,139.8,0,-2795.26,657.56,317.67,3.16,0
2020-05-07 01-16-02 ,216,96.1,140,0,-2792.21,660.61,320.72,3.05,0
2020-05-07 01-16-03 ,217,96,140,0,-2792,660.82,320.93,0.21,0
2020-05-07 01-16-04 ,218,96.1,139.9,0,-2790.75,662.07,322.18,1.25,0
2020-05-07 01-16-05 ,219,93.5,140.1,0,-2789.26,663.56,323.67,1.49,0
2020-05-07 01-16-06 ,220,93.8,139.6,0,-2788.83,663.99,324.1,0.43,0
2020-05-07 01-16-07 ,221,95.4,139.7,0,-2786.58,666.24,326.35,2.25,0
2020-05-07 01-16-08 ,222,95,140,0,-2785.62,667.2,327.31,0.96,0
2020-05-07 01-16-09 ,223,95.1,140,0,-2783.55,669.27,329.38,2.07,0
2020-05-07 01-16-10 ,224,94.8,139.9,0,-2782.21,670.61,330.72,1.34,0
2020-05-07 01-16-11 ,225,93,139.9,0,-2779.92,672.9,333.01,2.29,0
2020-05-07 01-16-12 ,226,93.6,139.9,0,-2777.43,675.39,335.5,2.49,0
2020-05-07 01-16-13 ,227,93.8,140.1,0,-2776.79,676.03,336.14,0.64,0
2020-05-07 01-16-14 ,228,94.9,139.8,0,-2775.37,677.45,337.56,1.42,0
2020-05-07 01-16-15 ,229,94.2,139.8,0,-2774.29,678.53,338.64,1.08,0
2020-05-07 01-16-16 ,230,92.5,139.8,0,-2772.75,680.07,340.18,1.54,0
2020-05-07 01-16-17 ,231,101.3,139.4,0,-2768.88,683.94,344.05,3.87,0
2020-05-07 01-16-18 ,232,100.3,139.8,0,-2767.96,684.86,344.97,0.92,0
2020-05-07 01-16-19 ,233,100.9,139.7,0,-2765.63,687.19,347.3,2.33,0
2020-05-07 01-16-20 ,234,100.7,139.6,0,-2763.22,689.6,349.71,2.41,0
2020-05-07 01-16-21 ,235,98.1,140,0,-2762.27,690.55,350.66,0.95,0
2020-05-07 01-16-22 ,236,98.8,139.5,0,-2762.15,690.67,350.78,0.12,0
2020-05-07 01-16-23 ,237,99.9,139.7,0,-2760.14,692.68,352.79,2.01,0
2020-05-07 01-16-24 ,238,97.4,140,0,-2759.21,693.61,353.72,0.93,0
2020-05-07 01-16-25 ,239,98.4,139.6,0,-2757.42,695.4,355.51,1.79,0
2020-05-07 01-16-26 ,240,96,139.7,0,-2755.49,697.33,357.44,1.93,0
2020-05-07 01-16-27 ,241,95.6,139.6,0,-2753.14,699.68,359.79,2.35,0
2020-05-07 01-16-28 ,242,97.4,139.4,0,-2751.36,701.46,361.57,1.78,0
2020-05-07 01-16-29 ,243,96.2,139.8,0,-2750.77,702.05,362.16,0.59,0
2020-05-07 01-16-30 ,244,96.4,139.6,0,-2749.84,702.98,363.09,0.93,0
2020-05-07 01-16-31 ,245,95.6,139.6,0,-2748.2,704.62,364.73,1.64,0
2020-05-07 01-16-32 ,246,97.5,139.4,0,-2746.34,706.48,366.59,1.86,0
2020-05-07 01-16-33 ,247,97.3,139.4,0,-2743.48,709.34,369.45,2.86,0
2020-05-07 01-16-34 ,248,97,139.7,0,-2742.26,710.56,370.67,1.22,0
2020-05-07 01-16-35 ,249,97.1,139.5,0,-2740.66,712.16,372.27,1.6,0
2020-05-07 01-16-36 ,250,95.9,139.4,0,-2739.42,713.4,373.51,1.24,0
2020-05-07 01-16-37 ,251,95.6,139.2,0,-2737.45,715.37,375.48,1.97,0
2020-05-07 01-16-38 ,252,96.2,139.2,0,-2734.97,717.85,377.96,2.48,0
2020-05-07 01-16-39 ,253,97.1,139.2,0,-2733.36,719.46,379.57,1.61,0
2020-05-07 01-16-40 ,254,97.4,139.4,0,-2730.77,722.05,382.16,2.59,0
2020-05-07 01-16-41 ,255,97.6,139.1,0,-2729.38,723.44,383.55,1.39,0
2020-05-07 01-16-42 ,256,96.7,139.1,0,-2726.4,726.42,386.53,2.98,0
2020-05-07 01-16-43 ,257,97.8,138.7,0,-2723.6,729.22,389.33,2.8,0
2020-05-07 01-16-44 ,258,102.2,138.5,0,-2719.99,732.83,392.94,3.61,0
2020-05-07 01-16-45 ,259,101.2,138.2,0,-2717.16,735.66,395.77,2.83,0
2020-05-07 01-16-46 ,260,103.8,137.8,0,-2712.1,740.72,400.83,5.06,0
2020-05-07 01-16-47 ,261,106.6,137.5,0,-2707.28,745.54,405.65,4.82,0
2020-05-07 01-16-48 ,262,105.6,138.2,0,-2702.7,750.12,410.23,4.58,0
2020-05-07 01-16-49 ,263,106.9,138.5,0,-2698.35,754.47,414.58,4.35,0
2020-05-07 01-16-50 ,264,106.6,140.1,0,-2694.64,758.18,418.29,3.71,0
2020-05-07 01-16-51 ,265,105,140.6,0,-2692.1,760.72,420.83,2.54,0
2020-05-07 01-16-52 ,266,97.7,141.1,0,-2691.08,761.74,421.85,1.02,0
2020-05-07 01-16-53 ,267,98.8,140.9,0,-2688.2,764.62,424.73,2.88,0
2020-05-07 01-16-54 ,268,97.7,141.1,0,-2685.9,766.92,427.03,2.3,0
2020-05-07 01-16-55 ,269,99.2,141,0,-2684.6,768.22,428.33,1.3,0
2020-05-07 01-16-56 ,270,99.4,141.1,0,-2682.31,770.51,430.62,2.29,0
2020-05-07 01-16-57 ,271,95,141.2,0,-2681.98,770.84,430.95,0.33,0
2020-05-07 01-16-58 ,272,95.9,140.9,0,-2680.04,772.78,432.89,1.94,0
2020-05-07 01-16-59 ,273,95.2,141,0,-2677.53,775.29,435.4,2.51,0
2020-05-07 01-17-00 ,274,97.6,140.4,0,-2676.13,776.69,436.8,1.4,0
2020-05-07 01-17-01 ,275,100,141.4,0,-2674.55,778.27,438.38,1.58,0
2020-05-07 01-17-02 ,276,95,141.5,0,-2674.17,778.65,438.76,0.38,0
2020-05-07 01-17-03 ,277,94.9,141.1,0,-2672.8,780.02,440.13,1.37,0
2020-05-07 01-17-04 ,278,94.5,141.1,0,-2670.72,782.1,442.21,2.08,0
2020-05-07 01-17-05 ,279,97,141,0,-2669.17,783.65,443.76,1.55,0
2020-05-07 01-17-06 ,280,102.5,141.2,0,-2667.4,785.42,445.53,1.77,0
2020-05-07 01-17-07 ,281,100,141.2,0,-2665.38,787.44,447.55,2.02,0
2020-05-07 01-17-08 ,282,96.9,141.1,0,-2663.55,789.27,449.38,1.83,0
2020-05-07 01-17-09 ,283,98.6,140.9,0,-2662.26,790.56,450.67,1.29,0
2020-05-07 01-17-10 ,284,98,141.1,0,-2661.01,791.81,451.92,1.25,0
2020-05-07 01-17-11 ,285,100.6,141,0,-2659.75,793.07,453.18,1.26,0
2020-05-07 01-17-12 ,286,98.5,141.1,0,-2658.16,794.66,454.77,1.59,0
2020-05-07 01-17-13 ,287,95.4,141.1,0,-2657.69,795.13,455.24,0.47,0
2020-05-07 01-17-14 ,288,96.6,140.9,0,-2656.53,796.29,456.4,1.16,0
2020-05-07 01-17-15 ,289,98.2,141,0,-2654.28,798.54,458.65,2.25,0
2020-05-07 01-17-16 ,290,99.8,141,0,-2652.93,799.89,460,1.35,0
2020-05-07 01-17-17 ,291,99.3,141.1,0,-2650.68,802.14,462.25,2.25,0
2020-05-07 01-17-18 ,292,96.3,141.1,0,-2649.67,803.15,463.26,1.01,0
2020-05-07 01-17-19 ,293,96.1,140.9,0,-2649.33,803.49,463.6,0.34,0
2020-05-07 01-17-20 ,294,97.9,140.9,0,-2646.21,806.61,466.72,3.12,0
2020-05-07 01-17-21 ,295,97.1,141,0,-2645.2,807.62,467.73,1.01,0
2020-05-07 01-17-22 ,296,98.2,141,0,-2643.67,809.15,469.26,1.53,0
2020-05-07 01-17-23 ,297,95.9,140.9,0,-2641.59,811.23,471.34,2.08,0
2020-05-07 01-17-24 ,298,93.7,140.9,0,-2640.45,812.37,472.48,1.14,0
2020-05-07 01-17-25 ,299,95.7,140.9,0,-2638.11,814.71,474.82,2.34,0
2020-05-07 01-17-26 ,300,94.3,141,0,-2634.93,817.89,478,3.18,0
