timestamp,position,rotation,feed,velocity,grade
2020-05-18 20-13-41 ,3892.83,229.4,271.1,0.62,1
2020-05-18 20-13-42 ,3893.8,226.6,270.7,0.97,1
2020-05-18 20-13-43 ,3895.43,231.6,270.7,1.63,1
2020-05-18 20-13-44 ,3896.34,228.8,270.8,0.91,1
2020-05-18 20-13-45 ,3896.61,231.8,270.9,0.27,1
2020-05-18 20-13-46 ,3898.31,233,270.9,1.7,1
2020-05-18 20-13-47 ,3900.77,226.9,271,2.46,1
2020-05-18 20-13-48 ,3902.38,229.6,270.8,1.61,1
2020-05-18 20-13-49 ,3905.48,228.8,270.6,3.1,1
2020-05-18 20-13-50 ,3906.9,225.6,270.6,1.42,1
2020-05-18 20-13-51 ,3909.46,231.4,270.6,2.56,1
2020-05-18 20-13-52 ,3911.36,231.7,270.7,1.9,1
2020-05-18 20-13-53 ,3912.61,230.5,270.7,1.25,1
2020-05-18 20-13-54 ,3913.52,226.3,270.9,0.91,1
2020-05-18 20-13-55 ,3914.27,227,270.8,0.75,1
2020-05-18 20-13-56 ,3917.65,227.9,270.4,3.38,1
2020-05-18 20-13-57 ,3919.29,224.5,270.7,1.64,1
2020-05-18 20-13-58 ,3920.81,229,270.6,1.52,1
2020-05-18 20-13-59 ,3922.45,231.1,270.8,1.64,1
2020-05-18 20-14-00 ,3924.14,236.8,270.6,1.69,1
2020-05-18 20-14-01 ,3926.2,234.5,270.6,2.06,1
2020-05-18 20-14-02 ,3927.59,232.9,270.4,1.39,1
2020-05-18 20-14-03 ,3929.53,232.4,270.4,1.94,1
2020-05-18 20-14-04 ,3931.65,234.4,270.5,2.12,1
2020-05-18 20-14-05 ,3934.02,230.7,270.3,2.37,1
2020-05-18 20-14-06 ,3936.19,230.7,270.5,2.17,1
2020-05-18 20-14-07 ,3940.03,235.7,270.5,3.84,1
2020-05-18 20-14-08 ,3942.69,234.8,270.3,2.66,1
2020-05-18 20-14-09 ,3944.35,229.7,270.4,1.66,1
2020-05-18 20-14-10 ,3946.77,230.4,270.3,2.42,1
2020-05-18 20-14-11 ,3947.54,226,270.4,0.77,1
2020-05-18 20-14-12 ,3948.6,224,270.5,1.06,1
2020-05-18 20-14-13 ,3952.25,228.4,270.3,3.65,1
2020-05-18 20-14-14 ,3953.87,229.2,270.5,1.62,1
2020-05-18 20-14-15 ,3956.23,233,270.3,2.36,1
2020-05-18 20-14-16 ,3959.15,232.6,270.5,2.92,1
2020-05-18 20-14-17 ,3960.66,226.9,270.5,1.51,1
2020-05-18 20-14-18 ,3961.27,223.5,270.5,0.61,1
2020-05-18 20-14-19 ,3966.42,227.7,270.1,5.15,1
2020-05-18 20-14-20 ,3968.3,224.2,270.4,1.88,1
2020-05-18 20-14-21 ,3969.29,225.3,270.5,0.99,1
2020-05-18 20-14-22 ,3970.63,227.3,270.8,1.34,1
2020-05-18 20-14-23 ,3972.09,228.1,270.6,1.46,1
2020-05-18 20-14-24 ,3973.69,224.8,270.6,1.6,1
2020-05-18 20-14-26 ,3975.75,223.1,270.5,2.06,1
2020-05-18 20-14-26 ,3976.93,221.9,270.7,1.18,1
2020-05-18 20-14-27 ,3978.81,225.8,270.6,1.88,1
2020-05-18 20-14-28 ,3980.02,224.5,270.7,1.21,1
2020-05-18 20-14-29 ,3982.04,224.5,270.7,2.02,1
2020-05-18 20-14-30 ,3982.81,230.3,270.6,0.77,1
2020-05-18 20-14-31 ,3983.15,229.2,270.7,0.34,1
2020-05-18 20-14-32 ,3984.83,224.5,270.7,1.68,1
2020-05-18 20-14-33 ,3987.07,224,270.7,2.24,1
2020-05-18 20-14-34 ,3990.64,220.7,270.4,3.57,1
2020-05-18 20-14-35 ,3991.63,224.9,270.6,0.99,1
2020-05-18 20-14-36 ,3992.41,226.2,270.6,0.78,1
2020-05-18 20-14-37 ,3994.78,228.6,270.8,2.37,1
2020-05-18 20-14-38 ,3996.58,229.9,270.8,1.8,1
2020-05-18 20-14-39 ,3997.4,225.9,270.7,0.82,1
2020-05-18 20-14-40 ,3998.47,226.6,270.6,1.07,1
2020-05-18 20-14-41 ,4000.22,228.9,270.6,1.75,1
2020-05-18 20-14-42 ,4002.77,230.3,270.7,2.55,1
2020-05-18 20-14-43 ,4004.09,233.1,270.4,1.32,1
2020-05-18 20-14-44 ,4006.26,230,270.7,2.17,1
2020-05-18 20-14-45 ,4005.74,229.7,270.9,-0.52,1
2020-05-18 20-14-46 ,4007.66,230.9,270.8,1.92,1
2020-05-18 20-14-47 ,4008.57,228.2,270.5,0.91,1
2020-05-18 20-14-48 ,4009.83,225.3,270.6,1.26,1
2020-05-18 20-14-49 ,4010.23,230.3,270.5,0.4,1
2020-05-18 20-14-50 ,4010.49,227.8,270.4,0.26,1
2020-05-18 20-14-51 ,4011.56,228.8,270.7,1.07,1
2020-05-18 20-14-52 ,4015.77,229.5,270.8,4.21,1
2020-05-18 20-14-53 ,4016.52,228.2,270.7,0.75,1
